Time,Wave Probe C,Wave Probe G,Wave Probe L
239.875,-97.29395101,107.6974932,-155.6343447
239.9375,-61.69395101,145.8124932,-139.6693447
240,-39.67795101,195.5594932,-118.3133447
240.0625,-22.01395101,219.5674932,-84.58034468
240.125,3.330048993,219.0724932,-37.97284468
240.1875,34.30604899,210.1624932,3.99965532
240.25,69.63404899,203.4794932,32.85575532
240.3125,99.07404899,190.3474932,58.60575532
240.375,127.730049,169.0774932,79.44715532
240.4375,162.290049,131.4574932,93.86715532
240.5,204.018049,85.40699318,100.0632553
240.5625,219.634049,44.83249318,101.6082553
240.625,209.906049,16.84949318,108.8186553
240.6875,197.890049,3.004963181,120.1326553
240.75,192.770049,-7.900506819,130.6896553
240.8125,192.258049,-23.98800682,140.2336553
240.875,185.074049,-51.69250682,163.9236553
240.9375,174.338049,-85.86300682,180.6606553
241,167.170049,-117.7905068,184.0086553
241.0625,135.170049,-138.5805068,180.6446553
241.125,80.11404899,-156.1375068,172.6786553
241.1875,25.85804899,-169.7505068,159.5296553
241.25,-24.33395101,-179.1555068,143.5646553
241.3125,-72.95795101,-187.3225068,127.5996553
241.375,-119.037951,-193.5105068,100.3207553
241.4375,-156.173951,-194.2525068,37.21715532
241.5,-175.629951,-197.7335068,-28.18784468
241.5625,-191.757951,-196.7435068,-95.13784468
241.625,-203.261951,-189.8135068,-148.6813447
241.6875,-216.333951,-177.4225068,-178.3103447
241.75,-224.013951,-165.8055068,-203.5293447
241.8125,-228.093951,-149.4705068,-222.8413447
241.875,-226.557951,-131.8825068,-233.1583447
241.9375,-216.589951,-115.0525068,-239.3213447
242,-203.005951,-97.00050682,-245.2603447
242.0625,-188.685951,-80.41800682,-250.6683447
242.125,-175.373951,-58.87000682,-249.1233447
242.1875,-162.317951,-32.15550682,-240.6253447
242.25,-144.125951,-0.475506819,-226.9783447
242.3125,-124.429951,34.93249318,-211.5113447
242.375,-109.069951,78.47699318,-188.3363447
242.4375,-88.06195101,128.4724932,-166.9803447
242.5,-64.25395101,171.5524932,-143.2903447
242.5625,-41.74195101,208.6774932,-121.1293447
242.625,-20.47795101,248.7724932,-93.59284468
242.6875,-8.461951007,286.6244932,-73.49174468
242.75,6.642048993,332.1644932,-55.98174468
242.8125,28.41804899,379.6844932,-29.47534468
242.875,51.69804899,321.5374932,0.15324532
242.9375,72.43404899,243.5594932,25.90325532
243,90.09804899,165.3494932,57.57575532
243.0625,106.738049,88.87199318,94.89715532
243.125,115.458049,19.09249318,129.4026553
243.1875,120.050049,-47.99550682,155.4256553
243.25,134.402049,-108.8655068,183.7506553
243.3125,149.250049,-159.1235068,205.1236553
243.375,151.554049,-195.9855068,219.0126553
243.4375,154.354049,-224.2005068,213.8786553
243.5,151.810049,-245.9955068,207.4406553
243.5625,146.162049,-262.8255068,198.4286553
243.625,144.114049,-280.1355068,180.6446553
243.6875,150.530049,-291.0255068,165.7096553
243.75,157.698049,-286.3385068,152.0626553
243.8125,83.97004899,-271.2405068,133.5386553
243.875,12.29004899,-246.2435068,94.89715532
243.9375,-47.10195101,-220.9985068,41.35325532
244,-104.701951,-188.3285068,-13.25284468
244.0625,-162.557951,-155.8905068,-61.40534468
244.125,-216.589951,-121.4875068,-97.95434468
244.1875,-263.181951,-93.28800682,-121.6443447
244.25,-297.741951,-67.03750682,-140.9563447
244.3125,-320.013951,-35.60500682,-175.4783447
244.375,-329.741951,3.747463181,-214.0863447
244.4375,-328.717951,40.36199318,-254.2563447
244.5,-313.869951,69.31949318,-286.9593447
244.5625,-286.733951,112.1374932,-305.2413447
244.625,-247.821951,152.4944932,-307.0603447
244.6875,-198.669951,191.0894932,-293.4133447
244.75,-141.837951,225.5074932,-268.6933447
